address,balance
0x4b024b1609e1c3c8335a7396748e9339c671dfa6,50680451595.83663
0x4b285583b9ca24685227fcb1c03ea1e77c4656d5,3089872484.6735053
0x4b6a7b3c30cc5052a2448f922dd9fd755da82cc4,7148186945.314018
0x4b7f6cfc79416397bd8be8c0ab1168188a42cb3c,58202564882.2136
0x4b9457f32a12dc51dc208eb4ad22152dc8bd2922,61005.370722339
0x4bda8c8503156cedb900297258c6ac572ae45bf0,53492379.29272066
0x4c4040fcb7cde51cb52dd2ad02dd7c6c1af77d5f,886530592.8159572
0x4c90f5b644d5e5fcdcec1c44d57fad536f91d1cf,1810328665.9848263
0x4cfbf4e007610588e11390c341a727c5e44e18e2,2997531408.8647575
0x4eaf985fbcf28fb74c35b92a380e954276235e43,4106780245.2409086
0x500a0322db458d511529fdb85ff5d9ecefb39595,10932950.967517596
0x5061ef7e48a23804a27983e83ab28a5b9f4646fa,1107095572.8660018
0x5084b46b389266b333a17a1ca9c43102f374157d,0.875496816
0x528695c5143ab0866f69deeb6be939838e9c5013,3178041.322068889
0x52890b0e5a9a99d629e47fafad99893529c99eba,173754747.173155
0x53351f6e823be027d544c92be9aa08eb14ce2f8e,13549116255.197132
0x53fbd57e1f38e360596f719bca5cc64e37cc600d,1105265576.3311229
0x5545f7ce83fd7a14e8deaf0c1c321e27a10babd8,39004088684.36154
0x554e18188366df8caf1a81b002d1600d477165f8,2934996370.5617676
0x5693f98bb43392728f3af88e646cb842db0f62ed,214869.128696161
0x570d9193187cfded8238606626d0e2cbeeb34e83,569847123.4429113
0x5796bf55bf389ce6886ab606483613b3f4aedd05,2234803844.9365573
0x58063746bb2bf70b765b137854701b09b76171c6,5338177377.856453
0x58e4dfff1ee14fe34deaaeabaf55c8a4fab85be1,589492.628178262
0x59b9ffed16391b59950c056938fd5691509f7cbb,105708811.94419289
0x5a4c0281861d198c8eebd8dc035b5c4e725d8091,4907810845.787888
0x5b054c447af3e44f012a57f84663c2033b7e6f58,316316115.05085224
0x5c8479ea88420333068512c241d83192fe89c9a9,108828959.55464615
0x5cf8e146ebe284e57173b253dc43cc5e3a04b268,25868023.74302683
0x5ee6ef33147425af9ab11c326935e6c54e494a29,322709862.4401539
